ID,Image,Nom,RÃ©fÃ©rence,CatÃ©gorie,Prix de base,Prix final,QuantitÃ©,Ã‰tat
30,,Veste rose collection,demo_1,Femme,145,156,25,1
31,,Veste multi coloris tendance,demo_1,Femme,125,136,12,1
31,,Manteau 3 couleurs,demo_1,Femme,158,168,16,1
32,,Veste flashy homme,demo_1,Homme,126,136,15,1
33,,Pantalon noir,demo_1,Homme,119,126,17,1
34,,Assortiment vestes 4 couleurs,demo_1,Homme,114,128,28,1
35,,Manteau pour enfant bleue/orange,demo_1,Enfants,125,139,12,1
36,,Veste vert flashy enfant,demo_1,Enfants,138,145,27,1
37,,Veste bleue à bandes,demo_1,Enfants,189,199,14,1
38,,Veste enfant rétro,demo_1,Enfants,147,156,31,1
